,ACSDT1Y2009,na,ACSDT1Y2010,ACSDT1Y2011,ACSDT1Y2012,ACSDT1Y2014,ACSDT1Y2015,ACSDT1Y2016,ACSDT1Y2018,ACSDT1Y2019,ACSDT1Y2021,ACSDT1Y2023
2009,9410,7990,0,0,0,0,0,0,0,0,0,0
2010,0,9676,7724,0,0,0,0,0,0,0,0,0
2011,0,9199,0,8201,0,0,0,0,0,0,0,0
2012,0,12496,0,0,4904,0,0,0,0,0,0,0
2013,0,17400,0,0,0,0,0,0,0,0,0,0
2014,0,12265,0,0,0,5135,0,0,0,0,0,0
2015,0,12871,0,0,0,0,4529,0,0,0,0,0
2016,0,14434,0,0,0,0,0,2966,0,0,0,0
2017,0,17400,0,0,0,0,0,0,0,0,0,0
2018,0,11720,0,0,0,0,0,0,5680,0,0,0
2019,0,5309,0,0,0,0,0,0,0,12091,0,0
2020,0,17400,0,0,0,0,0,0,0,0,0,0
2021,0,4448,0,0,0,0,0,0,0,0,12952,0
2022,0,17400,0,0,0,0,0,0,0,0,0,0
2023,0,7005,0,0,0,0,0,0,0,0,0,10395
